conm,fyear,at,roe,return
INVIGOR GROUP LTD,2003,3.544,-21.48096886,-1
PROVINCE RESOURCES LTD,2004,7.298,-0.631604285,-1
STREAM GROUP LTD,2004,20.938,0.214851273,-1
BEONIC LIMITED,2006,32.424,-0.16622536,-1
ARIZONA LITHIUM LIMITED,2006,1.745,-0.971246006,-1
HIGH GRADE METALS LTD,2007,1.956,-3.271682341,-1
IMEXHS LTD,2009,26.062,-0.093243465,-1
INTELLIGENT MONITORING GROUP,2010,3.976,-0.846832814,-1
BOART LONGYEAR GROUP LTD,2010,1707.289,0.084597344,-1
GOLDOZ LTD,2015,27.483,-0.217630349,-1
ZIMI LIMITED,2015,29.489,-0.123418949,-1
STEMIFY LTD,2019,0.467,,-1
QUANTUM GRAPHITE LTD,2018,17.354,-40.83425414,-0.999253913
INOVIQ LTD,2007,2.785,-0.06952934,-0.99881619
RESA GROUP LTD,2019,3.01,,-0.998596491
LAGUNA RESOURCES NL,2008,1.531,-0.008303811,-0.998563611
LACHLAN STAR LTD,2006,1.722,-0.007873365,-0.998244935
RMG LTD,2006,0.871,,-0.991151487
INDAGO RESOURCES LTD,2006,3.157,-15.44307179,-0.990131579
FBR LTD,2005,8.192,-0.14445741,-0.989026316
ALBIDON LTD,2008,116.359,-2.287412668,-0.986885246
MANTLE MINERALS LIMITED,2009,20.138,,-0.986060606
BLUE STAR HELIUM LTD,2018,0.636,,-0.986
MISSION NEWENERGY LTD,2012,10.703,,-0.985263158
ANTILLES OIL AND GAS NL,2014,3.348,,-0.985
RHIPE LTD,2012,1.032,,-0.984909091
BPH GLOBAL LTD,2015,3.581,5.907577249,-0.982716229
ONE NORTH ENTERTAINMENT LTD,2011,5.566,,-0.98
ASTON MINERALS LIMITED,2016,0.054,-0.319537161,-0.979991331
FRUGL GROUP LTD,2012,0.321,,-0.976190476
ORINOCO GOLD LTD,2018,4.349,,-0.976190476
AVASTRA SLEEP CENTRES LTD,2008,53.076,-0.189908384,-0.976047761
SUNDANCE ENERGY AUSTRALIA,2020,415.939,-2.200866773,-0.973972603
AUMAKE LIMITED,2015,20.742,-0.952684204,-0.973109244
MOOTER MEDIA LTD,2008,0.726,-3.119073697,-0.971717282
ZENITAS HEALTHCARE LTD,2004,11.098,-0.345429423,-0.971428571
VGI HEALTH TECHNOLOGY LIMITE,2016,3.71,-2.957533367,-0.971428571
CATHRX LTD,2012,3.912,-1.800995025,-0.97129931
QRXPHARMA LIMITED,2014,10.91,-1.401839685,-0.970512821
CRITICAL RESOURCES LTD,2014,10.514,-1.192257974,-0.97
NEXBIS LTD,2005,5.03,,-0.969352686
CYPRIUM METALS LTD,2008,83.083,,-0.96875
RENT.COM.AU LTD,2013,1.463,-1.718809814,-0.96875
ENRG ELEMENTS LTD,2016,1.526,-0.82853717,-0.968333333
WATERBERG COAL COMPANY LTD,2012,0.433,,-0.968125
RAGNAR METALS LTD,2018,1.695,-0.982051282,-0.9675
POINTERRA LTD,2010,1.717,,-0.967272727
IXLA LTD,2001,30.928,-1.278439978,-0.967142857
BLUEFREEWAY LTD,2008,96.94,-2.247145415,-0.966666667
CELSIUS RESOURCES LTD,2014,18.841,-0.417286575,-0.965517241
IPB PETROLEUM LTD,2015,5.773,-0.591508256,-0.965217391
PILOT ENERGY LTD,2014,13.362,-2.331003561,-0.964285714
SPACETALK LTD,2020,10.742,-0.650201997,-0.963942308
AURELIA METALS LTD,2015,105.025,-7.408025078,-0.962890407
KAIRIKI ENERGY LTD,2011,16.206,-2.012541532,-0.96232
SAVANNAH GOLDFIELDS LIMITED,2013,10.665,,-0.961685824
RANGE INTERNATIONAL LTD,2017,30.71,-0.962714114,-0.96
WEBCENTRAL GROUP LTD,2019,189.032,-0.47669644,-0.959151034
PIXIE GROUP LTD,2008,6.927,-1.293821096,-0.958823529
UXC LTD,2001,56.82,-2.078246748,-0.957407407
NATIONAL LEISURE AND GAMING,2008,243.836,-1.661155196,-0.956862745
MACQUARIE TECHNOLOGY GROUP,2001,151.669,-0.146594904,-0.956756757
RESPIRI LTD,2002,2.538,-1.618417462,-0.956158981
TARGET ENERGY LTD,2015,8.083,-4.394147002,-0.95608
NOVIQTECH LIMITED,2019,1.143,-2.080173348,-0.954702301
AXXIS TECHNOLOGY GROUP LTD,2004,1.069,-2.071910112,-0.953444181
AUSCANN GROUP HOLDINGS LTD,2011,0.335,,-0.952830189
REDBANK ENERGY LTD,2008,7149.904,-0.394311974,-0.952446274
88 ENERGY LTD,2014,1.743,-3.078880124,-0.952173913
NEVADA IRON LTD,2015,7.705,-1.610355776,-0.951219512
NATIONAL TELECOMS GROUP LTD,2003,28.032,-6.009480627,-0.950140351
THETA GOLD MINES LTD,2015,14.549,-1.563064966,-0.95
GONDWANA RESOURCES,2008,0.788,-27.6437247,-0.949799197
REGIS RESOURCES LTD,2002,8.235,,-0.94967978
STONEHORSE ENERGY LTD,2008,4.47,-8.742802303,-0.948461431
VOCATION LTD,2015,34.511,-1.684704226,-0.947916667
MINDAX LTD,2015,1.751,-1.925741915,-0.946666667
SOLIMAR ENERGY LTD,2014,4.788,,-0.945714286
SMILES INCLUSIVE L,2019,50.385,-1.701630166,-0.945455
MACH7 TECHNOLOGIES LTD,2011,1.868,,-0.944896353
PROSPECT RESOURCES LTD,2012,2.511,-0.225440313,-0.944827586
EPHRAIM RESOURCES LTD,2006,0,0,-0.944632
PASMINCO LTD,2001,0,-0.947382355,-0.944444444
PACIFICA GROUP LTD,2008,407.321,-1.495934306,-0.944444444
XTV NETWORKS LTD,2012,0.784,-4.291810842,-0.944444444
ASIA PACIFIC DIGITAL LTD,2008,46.002,-6.295470383,-0.944311854
LOCALITY PLANNING ENERGY HOL,2014,6.151,-0.393201846,-0.943642857
LINDIAN RESOURCES LTD,2013,14.18,-0.073531514,-0.943589744
SCIDEV LIMITED,2010,12.21,-0.845121371,-0.943540892
ONE CLICK GROUP LTD,2019,0.494,-5.093023256,-0.9429
BROOKSIDE ENERGY LTD,2014,0.042,-0.201696764,-0.942857143
AUSTRALIS OIL & GAS LTD,2019,229.627,0.041492523,-0.942857143
AUCTUS INVESTMENT GROUP LTD,2013,9.076,-0.167336822,-0.942727273
THRIVE TRIBE TECHNOLOGIES LI,2016,4.885,-3.158981663,-0.942622951
TILLEGRAH LTD,2012,4.648,-1.813572775,-0.941860465
MGC PHARMACEUTICALS LTD,2013,8.704,-0.175655559,-0.941348
GREENVALE ENERGY LTD,2009,2.901,-0.34271825,-0.941159091
DOTZ NANO LTD,2014,245.746,-0.969940149,-0.94
KBL MINING LTD,2016,69.807,-1.60645797,-0.94
AVIRA RESOURCES LTD,2017,3.658,,-0.93998992
COMMSTRAT LTD,2012,7.584,-0.452976253,-0.93955
CARNAVALE RESOURCES LTD,2008,16.942,-0.132575589,-0.938888889
ARGOSY MINERALS LTD,2014,0.726,16.75,-0.938777002
KADDY LTD,2005,28.926,-2.217183971,-0.93814433
Q LTD,2004,3.495,-0.741312741,-0.937674419
NGM RESOURCES LTD,2008,2.078,-3.730015627,-0.937662338
VIRALYTICS LTD,2001,3.486,-8.365617433,-0.9375
