Player,DOB,height,weight
"Walker, Taylor",1990-04-25,193,100
"Laird, Rory",1993-12-29,177,81
"Crouch, Matt",1995-04-21,182,80
"OBrien, Reilly",1995-08-20,202,101
"Murphy, Lachlan",1998-12-04,176,76
"Keays, Ben",1997-02-23,185,89
"Fogarty, Darcy",1999-09-25,193,94
"Jones, Chayce",2000-01-14,180,77
"Sholl, Lachlan",2000-03-07,185,77
"Dawson, Jordan",1997-04-09,192,86
"Hinge, Mitch",1998-06-26,190,84
"Soligo, Jake",2003-01-25,180,80
"Berry, Sam",2002-02-12,181,81
"Murray, Nick",2000-12-18,195,97
"Thilthorpe, Riley",2002-07-07,200,99
"Michalanney, Max",2004-02-26,190,80
"Worrell, Josh",2001-04-11,195,74
"Nankervis, Luke",2003-05-25,191,85
"Borlase, James",2002-07-18,192,101
"Dowling, Billy",2004-07-01,187,80
"Taylor, Zac",2003-01-31,180,74
"Curtin, Daniel",2005-03-08,197,95
"Bond, Hugh",2004-09-25,185,82
"Rachele, Josh",2003-04-11,180,78
"Rankine, Izak",2000-04-23,179,76
"Keane, Mark",2000-03-17,194,92
"Gollant, Lachlan",2001-09-12,191,72
"Himmelberg, Elliott",1998-06-04,198,96
"Cook, Brayden",2002-07-18,189,80
"Smith, Brodie",1992-01-14,189,90
"Butts, Jordon",1999-12-31,198,83
"Hamill, Will",2000-11-17,186,71
"Schoenberg, Harry",2001-02-21,180,78
"Strachan, Kieran",1995-10-05,204,95
"McHenry, Ned",2000-07-13,179,70
"Burgess, Chris",1995-11-26,191,82
"Pedlar, Luke",2002-05-17,183,80
"Parnell, Patrick",2002-03-04,177,71
"Milera, Wayne",1997-09-14,184,81
"Sloane, Rory",1990-03-17,182,83
"McAdam, Shane",1995-05-28,181,78
"Hately, Jackson",2000-10-21,190,83
"Doedee, Tom",1997-03-01,188,88
"Brown, Tyler",1999-12-09,188,77
"Rowe, James",1999-09-17,173,73
"Davis, Ben",1997-05-19,187,85
"Brown, Luke",1992-09-22,181,81
"Frampton, Billy",1996-11-20,200,90
"McPherson, Andrew",1999-06-20,186,79
"Mackay, David",1988-07-25,181,78
"Lynch, Tom",1990-09-15,193,88
"Seedsman, Paul",1992-01-22,190,87
"Kelly, Jake",1995-01-21,190,89
"OConnor, Ronin",2001-02-01,191,85
"Talia, Daniel",1991-10-02,197,98
"Hartigan, Kyle",1991-11-07,194,98
"Crouch, Brad",1994-01-14,186,85
"Stengle, Tyson",1998-10-19,172,73
"Gibbs, Bryce",1989-03-15,188,84
"Poholke, Myles",1998-07-10,186,86
"Crocker, Ben",1997-02-19,188,83
"McAsey, Fischer",2001-03-08,197,91
"Atkins, Rory",1994-07-12,186,85
"Knight, Riley",1995-03-27,181,80
"Douglas, Richard",1987-02-06,181,79
"Jacobs, Sam",1988-04-10,200,102
"Betts, Eddie",1986-11-26,174,74
"Greenwood, Hugh",1992-03-06,191,92
"Keath, Alex",1992-01-20,197,93
"Otten, Andy",1989-05-15,194,92
"Jenkins, Josh",1989-02-08,200,108
"Wilson, Patrick",1994-12-11,188,89
"Gallucci, Jordan",1998-05-04,182,78
"Ellis-Yolmen, Cam",1993-01-28,190,97
"McGovern, Mitch",1994-10-11,191,93
"Cheney, Kyle",1989-08-25,187,90
"Hampton, Curtly",1993-03-10,185,90
"Gibson, Sam",1986-05-27,185,83
"Cameron, Charlie",1994-07-05,181,74
"Lever, Jake",1996-03-05,195,91
"Thompson, Scott",1983-03-14,184,86
"Beech, Jonathon",1990-11-09,188,88
"Menzel, Troy",1994-09-22,187,84
"Lyons, Jarryd",1992-07-22,184,84
"Henderson, Ricky",1988-09-11,188,89
"van Berlo, Nathan",1986-06-06,184,83
"Dangerfield, Patrick",1990-04-05,189,92
"Shaw, Sam",1991-04-05,193,90
"Wright, Matthew",1989-12-14,178,75
"Martin, Brodie",1988-11-06,180,82
"Grigg, Mitch",1993-01-02,182,81
"Kerridge, Sam",1993-04-26,188,86
"Jaensch, Matthew",1989-09-18,180,82
"Rutten, Ben",1983-05-28,190,98
"Reilly, Brent",1983-11-12,183,85
"Podsiadly, James",1981-09-10,193,100
"Thompson, Luke",1991-02-08,194,88
"Porplyzia, Jason",1984-11-27,177,80
"Petrenko, Jared",1989-12-22,178,82
"McKernan, Shaun",1990-09-01,196,100
"Johnston, Lewis",1991-03-03,193,91
"Vince, Bernie",1985-10-02,186,86
"Callinan, Ian",1982-12-20,171,70
"Tambling, Richard",1986-09-12,180,80
"Riley, Aidan",1991-12-13,183,86
"Johncock, Graham",1982-10-21,178,87
"Doughty, Michael",1979-08-05,177,81
"Tippett, Kurt",1987-05-08,202,105
"Knights, Chris",1986-09-25,184,84
"Symes, Brad",1985-03-07,186,84
"McIntyre, Tim",1989-04-09,176,79
"Armstrong, Tony",1989-09-29,183,72
"Gunston, Jack",1991-10-16,193,87
"Maric, Ivan",1986-01-04,200,102
"Moran, Brad",1986-09-29,199,99
"Schmidt, Chris",1989-03-20,189,85
"Sellar, James",1989-03-24,196,98
"Cook, Myke",1989-10-09,184,77
"Davis, Phil",1990-08-30,197,96
"Stevens, Scott",1982-01-15,194,88
"Young, Will",1990-08-03,192,83
"Bock, Nathan",1983-03-20,193,93
"Griffin, Jonathon",1986-01-14,201,104
"McLeod, Andrew",1976-08-04,181,81
"Goodwin, Simon",1976-12-26,185,86
"Edwards, Tyson",1976-08-06,178,81
"Burton, Brett",1978-05-04,185,83
"Hentschel, Trent",1982-12-25,193,91
"Shirley, Robert",1980-06-09,185,85
"Gill, Nick",1982-08-25,193,93
"Bassett, Nathan",1976-12-07,190,87
"Massie, Kris",1980-05-30,189,87
"Campbell, Bryce",1984-09-07,184,80
"Jericho, Luke",1984-10-18,190,86
"McGregor, Ken",1981-01-29,195,97
"Jacky, Jarrhan",1989-04-05,177,76
"Ricciuto, Mark",1975-06-08,184,93
"Welsh, Scott",1978-12-07,188,89
"Torney, Jason",1977-06-16,187,84
"Hudson, Ben",1979-02-24,196,105
"Mattner, Martin",1982-08-06,189,86
"Meesen, John",1986-06-20,200,100
"Perrie, Ian",1979-04-09,194,102
"Hinge, John",1986-06-06,187,86
"Bode, Matthew",1979-06-29,178,76
"Biglands, Rhett",1977-09-04,200,103
"Clarke, Matthew",1973-09-18,200,100
"Hart, Ben",1974-07-09,190,83
"Skipworth, Hayden",1983-02-25,177,75
"Begley, James",1980-07-22,189,84
"Stevens, Mark",1975-10-25,194,95
"Stenglein, Tyson",1980-07-16,189,88
"Ladhams, Chris",1980-10-21,179,78
"Gallagher, James",1979-11-17,176,70
"Watts, Fergus",1985-09-21,197,95
"Smart, Nigel",1969-05-21,188,91
"Carey, Wayne",1971-05-27,192,97
"Schuback, Jacob",1983-11-28,180,80
"Burns, Ronnie",1973-03-13,183,86
"Bickley, Mark",1969-08-04,178,82
"Marsh, Ben",1976-07-09,201,102
"Crowell, Andrew",1977-08-15,189,89
"Schell, Daniel",1980-01-20,192,90
"Johnson, Kane",1978-03-15,187,85
"Beinke, Bryan",1975-08-05,185,88
"Hewitt, Evan",1978-07-07,193,95
"Shir, Matthew",1981-09-12,184,83
"Nelson, Ben",1977-01-23,184,92
