team_id,Player,DOB,cap,number,games,won,drawn,lost,goals
adelaide,"Walker, Taylor",1990-04-25,165,13,278,139,2,137,641
adelaide,"Laird, Rory",1993-12-29,193,29,247,121,2,124,30
adelaide,"Crouch, Matt",1995-04-21,198,5,158,81,2,75,30
adelaide,"OBrien, Reilly",1995-08-20,209,43,121,47,1,73,14
adelaide,"Murphy, Lachlan",1998-12-04,219,4,115,46,0,69,75
adelaide,"Keays, Ben",1997-02-23,230,2,106,37,1,68,81
adelaide,"Fogarty, Darcy",1999-09-25,217,32,102,36,1,65,158
adelaide,"Jones, Chayce",2000-01-14,224,1,92,29,1,62,23
adelaide,"Sholl, Lachlan",2000-03-07,237,38,74,27,1,46,25
adelaide,"Dawson, Jordan",1997-04-09,250,12,67,27,1,39,26
adelaide,"Hinge, Mitch",1998-06-26,240,20,62,24,1,37,6
adelaide,"Soligo, Jake",2003-01-25,252,14,60,24,1,35,22
adelaide,"Berry, Sam",2002-02-12,239,21,57,20,0,37,12
adelaide,"Murray, Nick",2000-12-18,242,28,55,18,0,37,1
adelaide,"Thilthorpe, Riley",2002-07-07,244,7,53,19,0,34,59
adelaide,"Michalanney, Max",2004-02-26,255,16,45,19,1,25,NA
adelaide,"Worrell, Josh",2001-04-11,246,24,30,14,1,15,NA
adelaide,"Nankervis, Luke",2003-05-25,257,27,24,10,1,13,1
adelaide,"Borlase, James",2002-07-18,259,35,14,4,0,10,1
adelaide,"Dowling, Billy",2004-07-01,262,31,9,3,0,6,4
adelaide,"Taylor, Zac",2003-01-31,263,19,9,4,0,5,4
adelaide,"Curtin, Daniel",2005-03-08,261,6,7,2,1,4,3
adelaide,"Bond, Hugh",2004-09-25,264,40,7,3,0,4,NA
adelaide,"Rachele, Josh",2003-04-11,251,8,56,22,1,33,70
adelaide,"Rankine, Izak",2000-04-23,256,22,35,14,1,20,65
adelaide,"Keane, Mark",2000-03-17,258,48,26,11,1,14,NA
adelaide,"Gollant, Lachlan",2001-09-12,249,44,16,8,0,8,13
adelaide,"Himmelberg, Elliott",1998-06-04,223,34,50,19,1,30,49
adelaide,"Cook, Brayden",2002-07-18,248,15,27,11,1,15,15
adelaide,"Smith, Brodie",1992-01-14,176,33,262,132,2,128,71
adelaide,"Butts, Jordon",1999-12-31,238,41,75,30,1,44,NA
adelaide,"Hamill, Will",2000-11-17,232,17,45,13,0,32,1
adelaide,"Schoenberg, Harry",2001-02-21,236,26,61,21,0,40,22
adelaide,"Strachan, Kieran",1995-10-05,235,45,7,1,0,6,1
adelaide,"McHenry, Ned",2000-07-13,231,25,70,25,1,44,32
adelaide,"Burgess, Chris",1995-11-26,260,21,7,1,0,6,7
adelaide,"Pedlar, Luke",2002-05-17,247,10,30,11,0,19,27
adelaide,"Parnell, Patrick",2002-03-04,253,37,17,8,0,9,NA
adelaide,"Milera, Wayne",1997-09-14,207,30,99,50,1,48,29
adelaide,"Sloane, Rory",1990-03-17,168,9,255,134,1,120,136
adelaide,"McAdam, Shane",1995-05-28,233,23,50,18,0,32,72
adelaide,"Hately, Jackson",2000-10-21,243,6,15,3,0,12,2
adelaide,"Doedee, Tom",1997-03-01,216,39,82,30,0,52,3
adelaide,"Brown, Tyler",1999-12-09,254,21,1,0,0,1,NA
adelaide,"Rowe, James",1999-09-17,241,31,36,11,0,25,27
adelaide,"Davis, Ben",1997-05-19,225,40,11,4,0,7,1
adelaide,"Brown, Luke",1992-09-22,190,16,189,95,1,93,13
adelaide,"Frampton, Billy",1996-11-20,227,22,21,9,0,12,8
adelaide,"McPherson, Andrew",1999-06-20,234,36,28,8,0,20,NA
adelaide,"Mackay, David",1988-07-25,155,14,248,136,1,111,68
adelaide,"Lynch, Tom",1990-09-15,184,27,158,86,1,71,199
adelaide,"Seedsman, Paul",1992-01-22,208,11,83,36,1,46,49
adelaide,"Kelly, Jake",1995-01-21,202,8,110,50,1,59,1
adelaide,"OConnor, Ronin",2001-02-01,245,37,3,1,0,2,NA
