team_id,Player,DOB,debut,last
adelaide,"Walker, Taylor",1990-04-25,2009-03-28,2024-08-24
adelaide,"Laird, Rory",1993-12-29,2013-04-21,2024-08-24
adelaide,"Crouch, Matt",1995-04-21,2014-04-05,2024-08-24
adelaide,"OBrien, Reilly",1995-08-20,2016-08-06,2024-08-24
adelaide,"Murphy, Lachlan",1998-12-04,2018-03-23,2024-08-24
adelaide,"Keays, Ben",1997-02-23,2020-06-13,2024-08-24
adelaide,"Fogarty, Darcy",1999-09-25,2018-03-23,2024-08-24
adelaide,"Jones, Chayce",2000-01-14,2019-03-23,2024-08-24
adelaide,"Sholl, Lachlan",2000-03-07,2020-08-05,2024-08-24
adelaide,"Dawson, Jordan",1997-04-09,2022-03-20,2024-08-24
adelaide,"Hinge, Mitch",1998-06-26,2021-03-20,2024-08-24
adelaide,"Soligo, Jake",2003-01-25,2022-03-20,2024-08-24
adelaide,"Berry, Sam",2002-02-12,2021-03-20,2024-08-24
adelaide,"Murray, Nick",2000-12-18,2021-03-27,2024-08-24
adelaide,"Thilthorpe, Riley",2002-07-07,2021-04-25,2024-08-24
adelaide,"Michalanney, Max",2004-02-26,2023-03-19,2024-08-24
adelaide,"Worrell, Josh",2001-04-11,2021-06-12,2024-08-24
adelaide,"Nankervis, Luke",2003-05-25,2023-07-23,2024-08-24
adelaide,"Borlase, James",2002-07-18,2023-08-05,2024-08-24
adelaide,"Dowling, Billy",2004-07-01,2024-06-06,2024-08-24
adelaide,"Taylor, Zac",2003-01-31,2024-06-29,2024-08-24
adelaide,"Curtin, Daniel",2005-03-08,2024-05-02,2024-08-24
adelaide,"Bond, Hugh",2004-09-25,2024-07-13,2024-08-24
adelaide,"Rachele, Josh",2003-04-11,2022-03-20,2024-08-17
adelaide,"Rankine, Izak",2000-04-23,2023-03-19,2024-08-17
adelaide,"Keane, Mark",2000-03-17,2023-07-29,2024-08-17
adelaide,"Gollant, Lachlan",2001-09-12,2021-08-22,2024-08-17
adelaide,"Himmelberg, Elliott",1998-06-04,2018-08-25,2024-07-28
adelaide,"Cook, Brayden",2002-07-18,2021-08-07,2024-07-28
adelaide,"Smith, Brodie",1992-01-14,2011-03-26,2024-07-19
adelaide,"Butts, Jordon",1999-12-31,2020-08-23,2024-07-19
adelaide,"Hamill, Will",2000-11-17,2020-06-21,2024-06-29
adelaide,"Schoenberg, Harry",2001-02-21,2020-08-05,2024-06-15
adelaide,"Strachan, Kieran",1995-10-05,2020-08-01,2024-06-15
adelaide,"McHenry, Ned",2000-07-13,2020-06-13,2024-06-06
adelaide,"Burgess, Chris",1995-11-26,2024-03-16,2024-06-06
