company,infocode,marketdate,bid,ask,close
Metcash,258,2019-11-21,2.9700003,3.0500002,3.04
Metcash,258,2019-11-22,2.8199997,2.8500004,2.83
Metcash,258,2019-11-25,2.8100005,2.8599997,2.8500004
Metcash,258,2019-11-26,2.8599997,2.9799996,2.9300004
Metcash,258,2019-11-27,3.0500002,3.1000004,3.0600005
Metcash,258,2019-11-28,2.8999997,3.0699997,3.0500002
Metcash,258,2019-11-29,2.9799996,3.0299998,3
Metcash,258,2019-12-02,2.9200001,2.9899998,2.9499999
Metcash,258,2019-12-03,2.8999997,2.9899998,2.9099999
Metcash,258,2019-12-04,2.7600003,2.8400002,2.7700005
Metcash,258,2019-12-05,2.7399998,2.8100005,2.7600003
Metcash,258,2019-12-06,2.7399998,2.79,2.7700005
Metcash,258,2019-12-09,2.6999999,2.7799998,2.7399998
Metcash,258,2019-12-10,2.6199999,2.6400004,2.6300002
Metcash,258,2019-12-11,2.6300002,2.6800004,2.6400004
Metcash,258,2019-12-12,2.6300002,2.6700001,2.6499997
Metcash,258,2019-12-13,2.6300002,2.6800004,2.6499997
Metcash,258,2019-12-16,2.6800004,2.7200003,2.6899996
Metcash,258,2019-12-17,2.6700001,2.7200003,2.7100001
Metcash,258,2019-12-18,2.6499997,2.6999999,2.6700001
Metcash,258,2019-12-19,2.6199999,2.6499997,2.6400004
Metcash,258,2019-12-20,2.6000004,2.6400004,2.6000004
Metcash,258,2019-12-23,2.5900002,2.6400004,2.6000004
Metcash,258,2019-12-24,2.6099997,2.6400004,2.6300002
Metcash,258,2019-12-27,2.6000004,2.6499997,2.6300002
Metcash,258,2019-12-30,2.6000004,2.6499997,2.6499997
Metcash,258,2019-12-31,2.5600005,2.6300002,2.5699997
Metcash,258,2020-01-02,2.5299998,2.58,2.5500002
Metcash,258,2020-01-03,2.5600005,2.6300002,2.5699997
Metcash,258,2020-01-06,2.5100003,2.54,2.5100003
Metcash,258,2020-01-07,2.58,2.6000004,2.5900002
Metcash,258,2020-01-08,2.5299998,2.5600005,2.54
Metcash,258,2020-01-09,2.5299998,2.5699997,2.5500002
Metcash,258,2020-01-10,2.5,2.5299998,2.5200005
Metcash,258,2020-01-13,2.54,2.6000004,2.5900002
Metcash,258,2020-01-14,2.6000004,2.6499997,2.6199999
Metcash,258,2020-01-15,2.58,2.6099997,2.5900002
Metcash,258,2020-01-16,2.6099997,2.6300002,2.6199999
Metcash,258,2020-01-17,2.5900002,2.6400004,2.6000004
Metcash,258,2020-01-20,2.6499997,2.6599999,2.6499997
Metcash,258,2020-01-21,2.6400004,2.6700001,2.6499997
Metcash,258,2020-01-22,2.6300002,2.6800004,2.6499997
Metcash,258,2020-01-23,2.6300002,2.6800004,2.6499997
Metcash,258,2020-01-24,2.6400004,2.6800004,2.6499997
Metcash,258,2020-01-28,2.6099997,2.6499997,2.6099997
Metcash,258,2020-01-29,2.6400004,2.6700001,2.6400004
Metcash,258,2020-01-30,2.5500002,2.5900002,2.5600005
Metcash,258,2020-01-31,2.5699997,2.6199999,2.6199999
Metcash,258,2020-02-03,2.5600005,2.5900002,2.5699997
Metcash,258,2020-02-04,2.5900002,2.6199999,2.6199999
Metcash,258,2020-02-05,2.6099997,2.6400004,2.6199999
Metcash,258,2020-02-06,2.6000004,2.6499997,2.6400004
Metcash,258,2020-02-07,2.6000004,2.6400004,2.6199999
Metcash,258,2020-02-10,2.6199999,2.6599999,2.6599999
Metcash,258,2020-02-11,2.6899996,2.7200003,2.6999999
Metcash,258,2020-02-12,2.6999999,2.7299996,2.7200003
Metcash,258,2020-02-13,2.75,2.8000002,2.7799998
Metcash,258,2020-02-14,2.7399998,2.79,2.75
Metcash,258,2020-02-17,2.6999999,2.7700005,2.75
Metcash,258,2020-02-18,2.6999999,2.79,2.7600003
Metcash,258,2020-02-19,2.75,2.79,2.7799998
Metcash,258,2020-02-20,2.7799998,2.83,2.8199997
Metcash,258,2020-02-21,2.7799998,2.83,2.8199997
Metcash,258,2020-02-24,2.75,2.8199997,2.7799998
Metcash,258,2020-02-25,2.6999999,2.7600003,2.7100001
Metcash,258,2020-02-26,2.6000004,2.6300002,2.6199999
Metcash,258,2020-02-27,2.5500002,2.58,2.5600005
Metcash,258,2020-02-28,2.4700003,2.54,2.4700003
Metcash,258,2020-03-02,2.4099999,2.4899998,2.4700003
Metcash,258,2020-03-03,2.5299998,2.6400004,2.6000004
Metcash,258,2020-03-04,2.5200005,2.6800004,2.6700001
Metcash,258,2020-03-05,2.6899996,2.7799998,2.7700005
Metcash,258,2020-03-06,2.6099997,2.75,2.6400004
Metcash,258,2020-03-09,2.4300004,2.7100001,2.5
Metcash,258,2020-03-10,2.5299998,2.5900002,2.58
Metcash,258,2020-03-11,2.5100003,2.5900002,2.54
Metcash,258,2020-03-12,2.3000002,2.3800002,2.3500004
Metcash,258,2020-03-13,2.25,2.4499999,2.4300004
Metcash,258,2020-03-16,2.3999997,2.5100003,2.4099999
Metcash,258,2020-03-17,2.8999997,3.0699997,3.0600005
Metcash,258,2020-03-18,3.0600005,3.1999999,3.1300002
Metcash,258,2020-03-19,3.25,3.2600003,3.25
Metcash,258,2020-03-20,3.1000004,3.1999999,3.1999999
Metcash,258,2020-03-23,3.1999999,3.29,3.29
Metcash,258,2020-03-24,3.1099997,3.2200003,3.2200003
Metcash,258,2020-03-25,3.2700005,3.3699999,3.3100005
Metcash,258,2020-03-26,3.1599999,3.2100001,3.1700001
Metcash,258,2020-03-27,3.08,3.1099997,3.1099997
Metcash,258,2020-03-30,3.1499997,3.2799998,3.2700005
Metcash,258,2020-03-31,3.1099997,3.1599999,3.1499997
Metcash,258,2020-04-01,3.1499997,3.1700001,3.1599999
Metcash,258,2020-04-02,3.0100003,3.0500002,3.0100003
Metcash,258,2020-04-03,2.8100005,3.0100003,2.8599997
Metcash,258,2020-04-06,2.9399996,3,2.9700003
Metcash,258,2020-04-07,2.75,2.83,2.83
Metcash,258,2020-04-08,2.7799998,2.8500004,2.8000002
Metcash,258,2020-04-09,2.8000002,2.8199997,2.8100005
Metcash,258,2020-04-14,2.8999997,2.9300004,2.9200001
Metcash,258,2020-04-15,2.9099999,2.9799996,2.9499999
Metcash,258,2020-04-16,2.9499999,3.0600005,3.04
Metcash,258,2020-04-17,3,3.1000004,3.04
Metcash,258,2020-04-20,3.1199999,3.0299998,
Metcash,258,2020-04-21,2.6300002,2.6400004,2.6300002
Metcash,258,2020-04-22,2.5299998,2.5500002,2.54
Metcash,258,2020-04-23,2.4799996,2.5,2.4899998
Metcash,258,2020-04-24,2.5100003,2.5200005,2.5200005
Metcash,258,2020-04-27,2.5299998,2.5600005,2.5500002
Metcash,258,2020-04-28,2.4799996,2.5500002,2.4799996
Metcash,258,2020-04-29,2.4499999,2.4899998,2.4600001
Metcash,258,2020-04-30,2.4600001,2.4899998,2.4899998
Metcash,258,2020-05-01,2.4399996,2.4899998,2.4399996
Metcash,258,2020-05-04,2.4499999,2.4799996,2.4700003
Metcash,258,2020-05-05,2.4399996,2.4700003,2.4399996
Metcash,258,2020-05-06,2.3699999,2.4099999,2.3699999
Metcash,258,2020-05-07,2.33,2.3400002,2.3400002
Metcash,258,2020-05-08,2.3199997,2.3599997,2.3199997
Metcash,258,2020-05-11,2.29,2.3100005,2.29
Metcash,258,2020-05-12,2.3000002,2.3199997,2.3199997
Metcash,258,2020-05-13,2.3599997,2.3800002,2.3699999
Metcash,258,2020-05-14,2.3400002,2.3800002,2.3500004
Metcash,258,2020-05-15,2.3699999,2.4200001,2.4200001
Metcash,258,2020-05-18,2.4399996,2.4700003,2.4600001
Metcash,258,2020-05-19,2.4499999,2.5,2.4899998
Metcash,258,2020-05-20,2.4700003,2.5,2.4799996
Metcash,258,2020-05-21,2.4600001,2.4899998,2.4899998
Metcash,258,2020-05-22,2.5,2.5600005,2.5100003
Metcash,258,2020-05-25,2.5699997,2.58,2.58
Metcash,258,2020-05-26,2.6099997,2.6499997,2.6400004
Metcash,258,2020-05-27,2.6499997,2.6800004,2.6599999
Metcash,258,2020-05-28,2.6800004,2.7100001,2.6999999
Metcash,258,2020-05-29,2.6700001,2.7100001,2.6999999
Metcash,258,2020-06-01,2.6700001,2.6999999,2.6899996
Metcash,258,2020-06-02,2.6700001,2.6999999,2.6999999
Metcash,258,2020-06-03,2.6999999,2.7600003,2.75
Metcash,258,2020-06-04,2.7200003,2.75,2.7299996
Metcash,258,2020-06-05,2.7299996,2.7700005,2.75
Metcash,258,2020-06-09,2.8000002,2.8500004,2.83
Metcash,258,2020-06-10,2.8000002,2.8699999,2.8400002
Metcash,258,2020-06-11,2.8800002,2.9099999,2.8900004
